Character,WidthHeightRatio,SymmetryHorizontal,SymmetryVertical,SymmetryCenter,upPartLarge,downPartLarge,leftPartLarge,rightPartLarge,haveCircle,spread
A,0.7142,0,1,0,0,1,0,0,0,
B,0.6428,1,0,0,0,0,0,1,1,
C,0.6785,1,0,0,0,0,1,0,0,
D,0.6785,1,0,0,0,0,0,1,1,
E,0.6071,1,0,0,0,0,1,0,0,
F,0.6071,0,0,0,1,0,1,0,0,
G,0.7142,0,0,0,0,1,0,1,0,
H,0.7142,1,1,1,0,0,0,0,0,
I,0.3571,1,1,1,0,0,0,0,0,
J,0.5357,0,0,0,0,1,0,1,0,
K,0.6785,1,0,0,0,0,1,0,0,
L,0.5714,0,0,0,0,1,1,0,0,
M,0.8571,0,1,0,1,0,0,0,0,
N,0.7142,0,0,1,0,0,0,0,0,
O,0.7142,1,1,1,0,0,0,0,1,
P,0.6428,0,0,0,1,0,1,0,1,
Q,0.7857,0,0,0,0,1,0,1,1,
R,0.6785,0,0,0,1,0,0,1,1,
S,0.6428,0,0,1,0,0,0,0,0,
T,0.6071,0,1,0,1,0,0,0,0,
U,0.7142,0,1,0,0,1,0,0,0,
V,0.7142,0,1,0,0,0,0,0,0,
W,0.9285,0,1,0,0,1,0,0,0,
X,0.7142,1,1,0,0,0,0,0,0,
Y,0.7142,0,1,0,1,0,0,0,0,
Z,0.6428,0,0,1,0,0,0,0,0,
a,0.8750,0,0,0,0,1,0,1,1,
b,0.7500,0,0,0,1,0,0,1,1,
c,0.8125,1,0,0,0,0,1,0,0,
d,0.7500,0,0,0,1,0,0,1,1,
e,0.8125,0,0,0,1,0,1,0,1,
f,0.5625,0,0,0,1,0,0,1,0,
g,0.8125,0,0,0,1,0,0,1,1,
h,0.7500,0,0,0,1,0,1,0,0,
i,0.3125,1,1,0,1,0,1,0,0,
j,0.4375,0,0,0,0,1,1,0,0,
k,0.7500,1,0,0,0,0,1,0,0,
l,0.3125,0,0,0,0,1,0,1,0,
m,1.1875,1,1,0,1,0,1,0,0,
n,0.7500,0,1,0,1,0,1,0,0,
o,0.8750,1,1,1,0,0,0,0,1,
p,0.7500,0,0,0,1,0,1,0,1,
q,0.7500,0,0,0,1,0,0,1,1,
r,0.5625,0,0,0,1,0,1,0,0,
s,0.8125,0,0,1,0,0,0,0,0,
t,0.5625,0,0,0,1,0,1,0,0,
u,0.7500,0,1,0,0,1,0,1,0,
v,0.7500,0,1,0,0,0,0,0,0,
w,1.0625,0,1,0,1,0,0,0,0,
x,0.7500,1,1,1,0,0,0,0,0,
y,0.7500,0,0,0,1,0,1,0,0,
z,0.8125,0,0,1,0,0,0,0,0,
0,0.8750,1,1,1,0,0,0,0,1,
1,0.4375,0,1,1,0,1,1,0,0,
2,0.8125,0,0,0,0,1,0,1,0,
3,0.8125,1,0,0,0,0,0,1,0,
4,0.8750,0,0,0,0,1,0,1,0,
5,0.8125,0,0,0,1,0,0,1,0,
6,0.8125,0,0,0,0,1,1,0,1,
7,0.8750,0,0,0,1,0,0,1,0,
8,0.8750,1,1,1,0,0,0,0,1,
9,0.8125,0,0,0,1,0,0,1,1,
